order_id,order_date,customer_id,region,category,product,quantity,unit_price,revenue,cost,profit,customer_feedback
ORD00945,2024-04-21,CUST0350,South,Beauty,Hair Dryer,3,100.27,300.81,174.79,126.02,"Amazing experience, customer service was fantastic."
ORD00453,2024-04-27,CUST0212,North,Beauty,Lipstick,3,284.11,852.33,595.39,256.94,Decent quality for the price point.
ORD00009,2024-05-01,CUST0004,North,Beauty,Face Serum,2,22.99,45.98,28.77,17.21,"Not worth the money, quite unhappy with this purchase."
ORD00941,2024-05-02,CUST0284,West,Electronics,Bluetooth Speaker,1,124.45,124.45,65.84,58.61,"Superb build quality, exceeded my expectations."
ORD00276,2024-05-04,CUST0064,West,Home & Kitchen,Cookware Set,5,303.57,1517.85,843.98,673.87,"Very satisfied with the purchase, five stars."
ORD00907,2024-05-12,CUST0199,North,Beauty,Lipstick,3,419.61,1258.83,622.6,636.23,"Superb build quality, exceeded my expectations."
ORD01051,2024-05-13,CUST0098,Central,Sports,Yoga Mat,5,464.33,2321.65,1454.69,866.96,"Superb build quality, exceeded my expectations."
ORD00160,2024-05-13,CUST0298,North,Apparel,T-Shirt,4,246.94,987.76,683.33,304.43,Decent quality for the price point.
ORD00857,2024-05-14,CUST0072,South,Apparel,Denim Jacket,2,459.7,919.4,468.19,451.21,"Very disappointed, the product broke in a week."
ORD00634,2024-05-16,CUST0391,South,Home & Kitchen,Cookware Set,2,480.77,961.54,587.75,373.79,"Great quality and fast delivery, highly recommend."
ORD00040,2024-05-20,CUST0126,Central,Apparel,T-Shirt,3,47.17,141.51,69.15,72.36,"Excellent value for money, will buy again."
ORD00846,2024-05-20,CUST0281,West,Electronics,Laptop Stand,1,83.8,83.8,61.16,22.64,"Amazing experience, customer service was fantastic."
ORD00259,2024-05-23,CUST0378,North,Electronics,Laptop Stand,2,337.6,675.2,441.31,233.89,"Excellent value for money, will buy again."
ORD01030,2024-05-24,CUST0009,Central,Beauty,Face Serum,4,363.09,1452.36,987.21,465.15,"Superb build quality, exceeded my expectations."
ORD00474,2024-05-28,CUST0284,West,Sports,Dumbbell Set,5,237.39,1186.95,869.94,317.01,"I absolutely love this product, works perfectly!"
ORD01463,2024-05-29,CUST0126,North,Beauty,Face Serum,4,414.87,1659.48,913.08,746.4,"Amazing experience, customer service was fantastic."
ORD01401,2024-05-30,CUST0285,North,Home & Kitchen,Cookware Set,1,205.76,205.76,153.45,52.31,"Amazing experience, customer service was fantastic."
ORD00921,2024-05-30,CUST0054,South,Beauty,Face Serum,1,487.43,487.43,226.11,261.32,"Superb build quality, exceeded my expectations."
ORD00661,2024-06-01,CUST0260,South,Home & Kitchen,Cookware Set,5,466.03,2330.15,1065.8,1264.35,"Delivery was on time, product is fine."
ORD00830,2024-06-01,CUST0004,East,Sports,Cycling Helmet,4,434.35,1737.4,871.57,865.83,"Not worth the money, quite unhappy with this purchase."
ORD00801,2024-06-01,CUST0295,North,Apparel,Denim Jacket,4,344.05,1376.2,705.08,671.12,"It's an average product, nothing special."
ORD01333,2024-06-03,CUST0260,West,Sports,Dumbbell Set,1,242.17,242.17,139.09,103.08,"Terrible experience, delivery was late and item was damaged."
ORD00653,2024-06-03,CUST0382,Central,Apparel,Sneakers,2,319.54,639.08,387.04,252.04,"Excellent value for money, will buy again."
ORD01022,2024-06-03,CUST0252,West,Apparel,Hoodie,3,382.75,1148.25,568.34,579.91,"It's an average product, nothing special."
ORD00197,2024-06-04,CUST0315,North,Electronics,Laptop Stand,2,310.34,620.68,454.91,165.77,"Superb build quality, exceeded my expectations."
ORD00965,2024-06-07,CUST0349,South,Beauty,Hair Dryer,5,77.12,385.6,252.98,132.62,"Terrible experience, delivery was late and item was damaged."
ORD01128,2024-06-08,CUST0120,East,Apparel,Sneakers,3,155.26,465.78,248.75,217.03,"Very satisfied with the purchase, five stars."
ORD00427,2024-06-11,CUST0139,North,Home & Kitchen,Cookware Set,3,153.95,461.85,213.58,248.27,"Delivery was on time, product is fine."
ORD01027,2024-06-12,CUST0097,South,Home & Kitchen,Vacuum Cleaner,5,481.47,2407.35,1734.37,672.98,"Very satisfied with the purchase, five stars."
ORD01078,2024-06-16,CUST0232,East,Apparel,Denim Jacket,4,16.25,65.0,42.81,22.19,"Excellent value for money, will buy again."
ORD00895,2024-06-17,CUST0001,South,Home & Kitchen,Vacuum Cleaner,5,431.8,2159.0,975.08,1183.92,"Superb build quality, exceeded my expectations."
ORD01081,2024-06-20,CUST0097,South,Electronics,Wireless Earbuds,4,347.95,1391.8,928.97,462.83,"Delivery was on time, product is fine."
ORD01158,2024-06-23,CUST0357,South,Electronics,Smartwatch,2,352.13,704.26,448.71,255.55,"Great quality and fast delivery, highly recommend."
ORD00544,2024-06-23,CUST0007,North,Beauty,Face Serum,2,384.68,769.36,380.07,389.29,"Delivery was on time, product is fine."
ORD00480,2024-06-23,CUST0164,West,Electronics,Laptop Stand,2,294.79,589.58,310.17,279.41,Decent quality for the price point.
ORD00594,2024-06-23,CUST0328,Central,Electronics,Smartwatch,1,284.27,284.27,201.09,83.18,"Delivery was on time, product is fine."
ORD01500,2024-06-25,CUST0292,North,Apparel,Hoodie,4,56.58,226.32,147.61,78.71,"Superb build quality, exceeded my expectations."
ORD01304,2024-06-27,CUST0349,North,Electronics,Bluetooth Speaker,4,119.15,476.6,321.5,155.1,"Amazing experience, customer service was fantastic."
ORD00875,2024-06-29,CUST0239,Central,Electronics,Wireless Earbuds,1,36.25,36.25,17.84,18.41,"Delivery was on time, product is fine."
ORD00310,2024-06-29,CUST0059,West,Electronics,Wireless Earbuds,4,313.67,1254.68,901.89,352.79,"Terrible experience, delivery was late and item was damaged."
ORD00157,2024-06-29,CUST0281,Central,Sports,Running Shoes,4,467.87,1871.48,1039.58,831.9,"Superb build quality, exceeded my expectations."
ORD01226,2024-07-01,CUST0004,East,Sports,Running Shoes,4,352.78,1411.12,832.18,578.94,"Amazing experience, customer service was fantastic."
ORD01034,2024-07-02,CUST0139,Central,Home & Kitchen,Blender,5,82.77,413.85,237.63,176.22,"Excellent value for money, will buy again."
ORD00607,2024-07-05,CUST0018,Central,Electronics,Laptop Stand,5,90.65,453.25,212.65,240.6,"Excellent value for money, will buy again."
ORD00031,2024-07-08,CUST0005,South,Home & Kitchen,Air Fryer,1,391.03,391.03,232.32,158.71,"Terrible experience, delivery was late and item was damaged."
ORD00531,2024-07-10,CUST0344,North,Sports,Yoga Mat,1,106.18,106.18,48.5,57.68,"Terrible experience, delivery was late and item was damaged."
ORD00020,2024-07-12,CUST0007,North,Beauty,Lipstick,5,119.06,595.3,338.72,256.58,"Poor quality, would not recommend this to anyone."
ORD00464,2024-07-17,CUST0064,Central,Apparel,T-Shirt,3,456.29,1368.87,840.79,528.08,"Delivery was on time, product is fine."
ORD00936,2024-07-18,CUST0018,Central,Electronics,Wireless Earbuds,2,106.26,212.52,134.77,77.75,"Excellent value for money, will buy again."
ORD00530,2024-07-23,CUST0322,Central,Home & Kitchen,Blender,3,95.46,286.38,169.39,116.99,"Great quality and fast delivery, highly recommend."
ORD00469,2024-07-23,CUST0341,South,Home & Kitchen,Air Fryer,3,492.74,1478.22,1005.78,472.44,"Great quality and fast delivery, highly recommend."
ORD00432,2024-07-25,CUST0118,East,Apparel,Hoodie,2,327.28,654.56,348.17,306.39,"Superb build quality, exceeded my expectations."
ORD00099,2024-07-26,CUST0065,North,Sports,Yoga Mat,5,183.76,918.8,492.63,426.17,"Very satisfied with the purchase, five stars."
ORD01469,2024-07-26,CUST0007,East,Beauty,Face Serum,4,26.71,106.84,70.03,36.81,"Poor quality, would not recommend this to anyone."
ORD00640,2024-07-30,CUST0018,South,Home & Kitchen,Vacuum Cleaner,4,230.55,922.2,671.13,251.07,Decent quality for the price point.
ORD00804,2024-07-30,CUST0105,Central,Sports,Yoga Mat,2,413.63,827.26,584.96,242.3,"Excellent value for money, will buy again."
ORD01153,2024-07-31,CUST0237,Central,Sports,Yoga Mat,5,348.05,1740.25,1244.63,495.62,"Very satisfied with the purchase, five stars."
ORD01181,2024-08-01,CUST0241,East,Electronics,Smartwatch,3,202.74,608.22,428.17,180.05,"Excellent value for money, will buy again."
ORD00772,2024-08-03,CUST0378,West,Apparel,Denim Jacket,1,363.4,363.4,188.65,174.75,"The product is okay, does what it says."
ORD00210,2024-08-06,CUST0350,East,Beauty,Perfume,1,222.67,222.67,106.12,116.55,"Excellent value for money, will buy again."
ORD00439,2024-08-07,CUST0360,East,Apparel,T-Shirt,3,270.82,812.46,390.78,421.68,"Excellent value for money, will buy again."
ORD01468,2024-08-13,CUST0375,North,Sports,Yoga Mat,4,290.7,1162.8,663.32,499.48,"Very satisfied with the purchase, five stars."
ORD00705,2024-08-14,CUST0269,North,Sports,Dumbbell Set,3,466.98,1400.94,683.05,717.89,"Great quality and fast delivery, highly recommend."
ORD01363,2024-08-21,CUST0105,Central,Electronics,Smartwatch,3,432.58,1297.74,916.57,381.17,"Amazing experience, customer service was fantastic."
ORD01264,2024-08-22,CUST0344,North,Apparel,Hoodie,2,13.94,27.88,16.66,11.22,"I absolutely love this product, works perfectly!"
ORD00967,2024-08-22,CUST0139,North,Apparel,Denim Jacket,1,462.06,462.06,286.73,175.33,"Amazing experience, customer service was fantastic."
ORD00370,2024-08-22,CUST0134,North,Beauty,Lipstick,1,179.16,179.16,102.88,76.28,"Delivery was on time, product is fine."
ORD00165,2024-08-25,CUST0078,East,Apparel,T-Shirt,5,38.64,193.2,95.16,98.04,"Superb build quality, exceeded my expectations."
ORD00005,2024-08-26,CUST0239,South,Apparel,T-Shirt,1,333.5,333.5,178.08,155.42,Bad customer support and low quality product.
ORD00392,2024-08-30,CUST0299,East,Sports,Cycling Helmet,5,430.43,2152.15,1612.58,539.57,"Superb build quality, exceeded my expectations."
ORD01490,2024-09-03,CUST0284,Central,Home & Kitchen,Vacuum Cleaner,2,420.88,841.76,526.2,315.56,"Excellent value for money, will buy again."
ORD01442,2024-09-03,CUST0005,East,Apparel,Denim Jacket,5,430.4,2152.0,1406.16,745.84,"I absolutely love this product, works perfectly!"
ORD01214,2024-09-03,CUST0312,Central,Sports,Running Shoes,4,142.2,568.8,343.23,225.57,"Very satisfied with the purchase, five stars."
ORD00603,2024-09-04,CUST0025,South,Apparel,Denim Jacket,4,218.23,872.92,493.08,379.84,"Delivery was on time, product is fine."
ORD00831,2024-09-04,CUST0381,West,Home & Kitchen,Air Fryer,4,328.09,1312.36,865.4,446.96,"It's an average product, nothing special."
ORD00667,2024-09-05,CUST0155,East,Beauty,Lipstick,2,290.65,581.3,285.52,295.78,"Very disappointed, the product broke in a week."
ORD00529,2024-09-05,CUST0025,North,Sports,Yoga Mat,2,213.6,427.2,308.61,118.59,"Very satisfied with the purchase, five stars."
ORD01063,2024-09-07,CUST0043,West,Apparel,T-Shirt,5,299.47,1497.35,943.04,554.31,"Very satisfied with the purchase, five stars."
ORD01062,2024-09-08,CUST0091,West,Home & Kitchen,Air Fryer,2,133.51,267.02,156.54,110.48,"Very satisfied with the purchase, five stars."
ORD00148,2024-09-09,CUST0311,Central,Apparel,T-Shirt,2,193.41,386.82,176.1,210.72,"Great quality and fast delivery, highly recommend."
ORD00274,2024-09-09,CUST0397,West,Beauty,Hair Dryer,2,249.56,499.12,284.76,214.36,"Not worth the money, quite unhappy with this purchase."
ORD00325,2024-09-11,CUST0105,East,Home & Kitchen,Air Fryer,1,82.61,82.61,54.02,28.59,"Amazing experience, customer service was fantastic."
ORD01019,2024-09-11,CUST0265,East,Sports,Running Shoes,3,293.05,879.15,489.99,389.16,"Superb build quality, exceeded my expectations."
ORD00277,2024-09-11,CUST0005,Central,Home & Kitchen,Cookware Set,4,238.72,954.88,439.57,515.31,"Terrible experience, delivery was late and item was damaged."
ORD01475,2024-09-11,CUST0096,West,Home & Kitchen,Blender,2,106.43,212.86,136.82,76.04,"Excellent value for money, will buy again."
ORD00153,2024-09-11,CUST0199,Central,Electronics,Laptop Stand,5,196.41,982.05,603.52,378.53,Decent quality for the price point.
ORD00891,2024-09-11,CUST0059,Central,Home & Kitchen,Vacuum Cleaner,3,485.63,1456.89,732.4,724.49,"It's an average product, nothing special."
ORD00648,2024-09-12,CUST0277,East,Beauty,Hair Dryer,4,437.08,1748.32,1006.16,742.16,"Superb build quality, exceeded my expectations."
ORD00205,2024-09-12,CUST0243,West,Home & Kitchen,Vacuum Cleaner,3,498.2,1494.6,837.71,656.89,"Amazing experience, customer service was fantastic."
ORD01216,2024-09-13,CUST0338,West,Home & Kitchen,Air Fryer,4,287.07,1148.28,763.21,385.07,"Superb build quality, exceeded my expectations."
ORD00301,2024-09-14,CUST0149,West,Sports,Cycling Helmet,1,446.21,446.21,239.27,206.94,"I absolutely love this product, works perfectly!"
ORD01041,2024-09-15,CUST0133,South,Sports,Yoga Mat,1,476.79,476.79,278.06,198.73,"Great quality and fast delivery, highly recommend."
ORD00664,2024-09-15,CUST0069,South,Sports,Yoga Mat,2,239.82,479.64,349.45,130.19,Decent quality for the price point.
ORD01497,2024-09-15,CUST0243,South,Home & Kitchen,Cookware Set,2,227.01,454.02,271.21,182.81,"The product is okay, does what it says."
ORD00614,2024-09-17,CUST0099,West,Sports,Cycling Helmet,2,468.34,936.68,632.66,304.02,"Poor quality, would not recommend this to anyone."
ORD01425,2024-09-17,CUST0252,South,Apparel,Hoodie,3,133.55,400.65,226.12,174.53,"Great quality and fast delivery, highly recommend."
ORD00690,2024-09-17,CUST0293,North,Sports,Cycling Helmet,4,387.31,1549.24,990.05,559.19,Bad customer support and low quality product.
ORD01332,2024-09-18,CUST0338,North,Electronics,Smartwatch,1,402.18,402.18,261.57,140.61,"Amazing experience, customer service was fantastic."
ORD00871,2024-09-19,CUST0004,South,Electronics,Laptop Stand,1,458.03,458.03,242.57,215.46,"Poor quality, would not recommend this to anyone."
ORD00714,2024-09-19,CUST0031,East,Sports,Cycling Helmet,1,16.87,16.87,10.46,6.41,Bad customer support and low quality product.
ORD00837,2024-09-20,CUST0064,West,Apparel,Denim Jacket,1,277.84,277.84,161.37,116.47,"The product is okay, does what it says."
ORD00376,2024-09-21,CUST0144,East,Apparel,Hoodie,4,351.66,1406.64,950.6,456.04,"Very satisfied with the purchase, five stars."
ORD00655,2024-09-22,CUST0381,Central,Home & Kitchen,Blender,2,450.87,901.74,575.78,325.96,"I absolutely love this product, works perfectly!"
ORD00047,2024-09-25,CUST0231,South,Electronics,Wireless Earbuds,2,272.31,544.62,283.18,261.44,"I absolutely love this product, works perfectly!"
ORD00518,2024-09-26,CUST0155,West,Home & Kitchen,Vacuum Cleaner,1,213.57,213.57,97.64,115.93,"Very satisfied with the purchase, five stars."
ORD00337,2024-09-26,CUST0378,East,Electronics,Bluetooth Speaker,5,432.23,2161.15,1150.21,1010.94,Bad customer support and low quality product.
ORD00254,2024-09-27,CUST0382,South,Home & Kitchen,Blender,1,410.17,410.17,219.59,190.58,Bad customer support and low quality product.
ORD01080,2024-09-27,CUST0315,South,Home & Kitchen,Cookware Set,2,458.32,916.64,459.12,457.52,Bad customer support and low quality product.
ORD00144,2024-09-29,CUST0293,South,Apparel,T-Shirt,2,29.28,58.56,28.5,30.06,"Superb build quality, exceeded my expectations."
ORD00304,2024-10-01,CUST0346,West,Apparel,Hoodie,1,162.81,162.81,111.07,51.74,Decent quality for the price point.
ORD00524,2024-10-02,CUST0173,West,Home & Kitchen,Vacuum Cleaner,4,367.78,1471.12,914.36,556.76,"Superb build quality, exceeded my expectations."
ORD01134,2024-10-04,CUST0298,Central,Home & Kitchen,Air Fryer,5,251.58,1257.9,862.57,395.33,Bad customer support and low quality product.
ORD00424,2024-10-05,CUST0098,West,Home & Kitchen,Cookware Set,4,365.05,1460.2,705.97,754.23,Decent quality for the price point.
ORD01396,2024-10-06,CUST0230,South,Apparel,Hoodie,1,340.97,340.97,162.42,178.55,"The product is okay, does what it says."
ORD00975,2024-10-07,CUST0004,West,Sports,Cycling Helmet,3,469.65,1408.95,698.76,710.19,"I absolutely love this product, works perfectly!"
ORD00525,2024-10-07,CUST0134,North,Electronics,Wireless Earbuds,3,353.36,1060.08,664.36,395.72,"Poor quality, would not recommend this to anyone."
ORD00317,2024-10-14,CUST0311,South,Home & Kitchen,Cookware Set,4,416.4,1665.6,1115.35,550.25,"I absolutely love this product, works perfectly!"
ORD01026,2024-10-15,CUST0207,North,Apparel,Sneakers,3,226.36,679.08,498.1,180.98,"I absolutely love this product, works perfectly!"
ORD00344,2024-10-17,CUST0283,Central,Home & Kitchen,Air Fryer,1,468.15,468.15,271.13,197.02,Bad customer support and low quality product.
ORD00238,2024-10-19,CUST0001,North,Sports,Cycling Helmet,3,350.13,1050.39,634.22,416.17,"Superb build quality, exceeded my expectations."
ORD00993,2024-10-21,CUST0018,East,Home & Kitchen,Air Fryer,5,209.06,1045.3,712.17,333.13,"I absolutely love this product, works perfectly!"
ORD00156,2024-10-22,CUST0271,Central,Sports,Cycling Helmet,2,360.59,721.18,437.3,283.88,"Terrible experience, delivery was late and item was damaged."
ORD00458,2024-10-22,CUST0355,North,Electronics,Smartwatch,2,47.64,95.28,49.59,45.69,Bad customer support and low quality product.
ORD00117,2024-10-22,CUST0134,Central,Home & Kitchen,Air Fryer,3,133.73,401.19,180.66,220.53,"Great quality and fast delivery, highly recommend."
ORD00018,2024-10-23,CUST0144,West,Beauty,Hair Dryer,5,466.16,2330.8,1730.09,600.71,"Poor quality, would not recommend this to anyone."
ORD00558,2024-10-25,CUST0320,East,Sports,Dumbbell Set,2,92.23,184.46,89.67,94.79,"Great quality and fast delivery, highly recommend."
ORD01197,2024-10-26,CUST0043,South,Beauty,Perfume,4,334.08,1336.32,614.2,722.12,"Great quality and fast delivery, highly recommend."
ORD00609,2024-10-27,CUST0391,West,Apparel,Sneakers,2,292.08,584.16,284.97,299.19,Decent quality for the price point.
ORD01270,2024-10-28,CUST0149,North,Beauty,Lipstick,4,35.09,140.36,94.55,45.81,"I absolutely love this product, works perfectly!"
ORD00237,2024-10-29,CUST0139,North,Beauty,Perfume,4,372.25,1489.0,717.55,771.45,"Amazing experience, customer service was fantastic."
ORD00146,2024-10-30,CUST0285,South,Electronics,Smartwatch,3,249.53,748.59,486.63,261.96,"Very satisfied with the purchase, five stars."
ORD00097,2024-10-30,CUST0311,South,Sports,Dumbbell Set,2,20.42,40.84,29.09,11.75,"Excellent value for money, will buy again."
ORD01459,2024-10-31,CUST0149,Central,Sports,Yoga Mat,4,443.11,1772.44,1125.03,647.41,"Excellent value for money, will buy again."
ORD01369,2024-11-01,CUST0178,Central,Home & Kitchen,Air Fryer,2,121.3,242.6,137.53,105.07,"It's an average product, nothing special."
ORD00721,2024-11-01,CUST0305,North,Apparel,Hoodie,4,300.85,1203.4,587.42,615.98,"Great quality and fast delivery, highly recommend."
ORD00997,2024-11-01,CUST0344,East,Sports,Running Shoes,1,168.88,168.88,81.62,87.26,"Superb build quality, exceeded my expectations."
ORD01084,2024-11-01,CUST0030,East,Home & Kitchen,Blender,4,281.33,1125.32,839.4,285.92,Decent quality for the price point.
ORD00747,2024-11-03,CUST0039,West,Electronics,Bluetooth Speaker,3,18.86,56.58,32.26,24.32,"Amazing experience, customer service was fantastic."
ORD01358,2024-11-04,CUST0157,North,Home & Kitchen,Cookware Set,3,270.84,812.52,436.88,375.64,Decent quality for the price point.
ORD00092,2024-11-06,CUST0149,West,Home & Kitchen,Vacuum Cleaner,5,349.22,1746.1,1230.58,515.52,"I absolutely love this product, works perfectly!"
ORD00780,2024-11-06,CUST0359,North,Home & Kitchen,Blender,3,241.13,723.39,533.81,189.58,"The product is okay, does what it says."
ORD00332,2024-11-07,CUST0239,West,Sports,Dumbbell Set,5,381.94,1909.7,1208.63,701.07,Bad customer support and low quality product.
ORD00366,2024-11-07,CUST0153,East,Apparel,Sneakers,5,183.36,916.8,640.45,276.35,"Delivery was on time, product is fine."
ORD00202,2024-11-07,CUST0144,Central,Apparel,Denim Jacket,1,373.44,373.44,266.8,106.64,"Excellent value for money, will buy again."
ORD00461,2024-11-10,CUST0315,West,Apparel,Denim Jacket,4,218.8,875.2,612.39,262.81,Bad customer support and low quality product.
ORD00002,2024-11-10,CUST0264,East,Sports,Yoga Mat,4,115.75,463.0,294.87,168.13,"Superb build quality, exceeded my expectations."
ORD00158,2024-11-11,CUST0027,West,Beauty,Perfume,3,294.66,883.98,421.56,462.42,"It's an average product, nothing special."
ORD00918,2024-11-11,CUST0144,East,Sports,Yoga Mat,1,463.88,463.88,342.57,121.31,"Superb build quality, exceeded my expectations."
ORD00818,2024-11-12,CUST0043,West,Apparel,Denim Jacket,2,407.44,814.88,414.91,399.97,"Amazing experience, customer service was fantastic."
ORD01054,2024-11-13,CUST0087,East,Beauty,Hair Dryer,2,407.26,814.52,597.98,216.54,"Amazing experience, customer service was fantastic."
ORD00806,2024-11-14,CUST0066,Central,Beauty,Face Serum,4,12.01,48.04,21.78,26.26,"Amazing experience, customer service was fantastic."
ORD01325,2024-11-14,CUST0360,Central,Sports,Cycling Helmet,2,266.12,532.24,327.33,204.91,"Great quality and fast delivery, highly recommend."
ORD01416,2024-11-16,CUST0199,Central,Apparel,Sneakers,3,150.46,451.38,308.95,142.43,"I absolutely love this product, works perfectly!"
ORD01345,2024-11-17,CUST0295,East,Beauty,Hair Dryer,1,77.57,77.57,48.67,28.9,"Excellent value for money, will buy again."
ORD00298,2024-11-17,CUST0146,North,Home & Kitchen,Cookware Set,4,11.41,45.64,32.3,13.34,"Superb build quality, exceeded my expectations."
ORD00483,2024-11-18,CUST0343,Central,Home & Kitchen,Vacuum Cleaner,3,156.4,469.2,336.59,132.61,"Excellent value for money, will buy again."
ORD00229,2024-11-18,CUST0085,North,Sports,Yoga Mat,1,204.03,204.03,147.83,56.2,"Great quality and fast delivery, highly recommend."
ORD01135,2024-11-19,CUST0091,East,Sports,Dumbbell Set,2,494.7,989.4,582.47,406.93,"Very satisfied with the purchase, five stars."
ORD00492,2024-11-19,CUST0294,South,Home & Kitchen,Cookware Set,3,143.18,429.54,244.73,184.81,"The product is okay, does what it says."
ORD00755,2024-11-20,CUST0366,North,Electronics,Bluetooth Speaker,5,145.99,729.95,532.88,197.07,"The product is okay, does what it says."
ORD00041,2024-11-20,CUST0281,West,Sports,Cycling Helmet,3,262.47,787.41,584.21,203.2,"Delivery was on time, product is fine."
ORD00621,2024-11-22,CUST0199,East,Electronics,Laptop Stand,2,467.65,935.3,457.66,477.64,"Delivery was on time, product is fine."
ORD00620,2024-11-22,CUST0344,North,Home & Kitchen,Cookware Set,2,302.93,605.86,393.46,212.4,"I absolutely love this product, works perfectly!"
ORD00326,2024-11-24,CUST0149,Central,Home & Kitchen,Vacuum Cleaner,4,381.8,1527.2,816.67,710.53,"Great quality and fast delivery, highly recommend."
ORD00191,2024-11-25,CUST0344,North,Sports,Running Shoes,3,61.79,185.37,138.38,46.99,"Superb build quality, exceeded my expectations."
ORD00489,2024-11-25,CUST0397,Central,Home & Kitchen,Air Fryer,1,149.43,149.43,87.1,62.33,"It's an average product, nothing special."
ORD01499,2024-11-25,CUST0115,North,Electronics,Laptop Stand,5,113.94,569.7,337.22,232.48,Bad customer support and low quality product.
ORD01494,2024-11-26,CUST0133,West,Electronics,Bluetooth Speaker,1,124.36,124.36,91.08,33.28,Decent quality for the price point.
ORD01072,2024-11-28,CUST0078,Central,Home & Kitchen,Blender,1,154.2,154.2,73.39,80.81,"Delivery was on time, product is fine."
ORD00377,2024-11-28,CUST0118,North,Home & Kitchen,Vacuum Cleaner,5,99.89,499.45,352.86,146.59,"Terrible experience, delivery was late and item was damaged."
ORD00429,2024-11-29,CUST0308,West,Apparel,T-Shirt,1,356.06,356.06,226.74,129.32,"Poor quality, would not recommend this to anyone."
ORD00481,2024-11-29,CUST0149,East,Beauty,Perfume,3,300.8,902.4,410.48,491.92,Decent quality for the price point.
ORD01450,2024-12-01,CUST0264,South,Beauty,Face Serum,1,444.5,444.5,289.46,155.04,"Terrible experience, delivery was late and item was damaged."
ORD00053,2024-12-02,CUST0212,South,Sports,Running Shoes,4,128.78,515.12,249.55,265.57,Decent quality for the price point.
ORD01429,2024-12-06,CUST0354,East,Electronics,Bluetooth Speaker,1,49.36,49.36,35.35,14.01,"Very satisfied with the purchase, five stars."
ORD00578,2024-12-06,CUST0203,North,Sports,Dumbbell Set,1,308.81,308.81,161.27,147.54,"Superb build quality, exceeded my expectations."
ORD00448,2024-12-09,CUST0355,East,Apparel,T-Shirt,5,270.51,1352.55,826.86,525.69,"Very satisfied with the purchase, five stars."
ORD00173,2024-12-09,CUST0231,Central,Sports,Dumbbell Set,5,414.77,2073.85,1419.78,654.07,"It's an average product, nothing special."
ORD00848,2024-12-09,CUST0014,South,Electronics,Smartwatch,2,456.3,912.6,668.93,243.67,"Amazing experience, customer service was fantastic."
ORD00963,2024-12-09,CUST0158,East,Home & Kitchen,Air Fryer,3,27.59,82.77,59.96,22.81,"I absolutely love this product, works perfectly!"
ORD01343,2024-12-09,CUST0332,North,Beauty,Perfume,2,156.94,313.88,161.38,152.5,"Excellent value for money, will buy again."
ORD01255,2024-12-10,CUST0116,East,Sports,Dumbbell Set,2,305.83,611.66,422.12,189.54,"It's an average product, nothing special."
ORD00723,2024-12-10,CUST0093,North,Apparel,Denim Jacket,3,400.46,1201.38,663.51,537.87,"Very disappointed, the product broke in a week."
ORD00881,2024-12-12,CUST0271,North,Sports,Yoga Mat,3,104.96,314.88,161.96,152.92,"Delivery was on time, product is fine."
ORD00876,2024-12-13,CUST0048,North,Electronics,Wireless Earbuds,1,474.73,474.73,333.61,141.12,Decent quality for the price point.
ORD00746,2024-12-13,CUST0058,South,Apparel,Sneakers,3,307.29,921.87,460.97,460.9,Decent quality for the price point.
ORD00770,2024-12-14,CUST0092,South,Electronics,Laptop Stand,1,477.67,477.67,340.22,137.45,"It's an average product, nothing special."
